Date Time O3_ref O3_p1 O3_gen
04/30/26 "09:42:00 PM" 79.797 81.197 80
04/30/26 "09:43:00 PM" 79.9 81.857 80
04/30/26 "09:44:00 PM" 80.487 82.317 80
04/30/26 "09:45:00 PM" 79.848 81.287 80
04/30/26 "09:46:00 PM" 79.993 81.832 80
04/30/26 "09:47:00 PM" 80.269 82.423 80
04/30/26 "09:48:00 PM" 79.946 82.17 80
04/30/26 "09:49:00 PM" 80.187 82.26 80
04/30/26 "09:50:00 PM" 80.304 82.322 80
04/30/26 "09:51:00 PM" 80.411 82.138 80
04/30/26 "09:52:00 PM" 80.43 82.282 80
04/30/26 "09:53:00 PM" 80.384 82.123 80
04/30/26 "09:54:00 PM" 80.07 82.493 80
04/30/26 "09:55:00 PM" 80.31 82.318 80
04/30/26 "09:56:00 PM" 80.594 82.423 80
04/30/26 "09:57:00 PM" 80.751 82.775 80
04/30/26 "09:58:00 PM" 80.526 82.877 80
04/30/26 "09:59:00 PM" 80.352 82.667 80
04/30/26 "10:00:00 PM" 80.374 82.758 80
04/30/26 "10:01:00 PM" 80.268 82.125 80
04/30/26 "10:02:00 PM" 80.508 81.9 80
04/30/26 "10:03:00 PM" 80.635 82.192 80
04/30/26 "10:04:00 PM" 80.21 81.995 80
04/30/26 "10:05:00 PM" 80.334 81.453 80
04/30/26 "10:06:00 PM" 80.641 81.715 80
04/30/26 "10:07:00 PM" 80.457 81.877 80
